Control1_2.8	Control1_3.8	Control1_4.1	Control1_7.3	Control2_3.3	Control2_6.5	Control2_7.6	Control2_8.1	Control2_8.9	Control3_3.1	Control3_3.6	Control3_4.9	Control3_5.3	Control3_5.7	Control4_1.8	Control4_2.6	Control4_5.3	Control4_8.1	Control5_1.9	Control5_3.6	Control5_7.4	Control5_9.2	Case1_5.1	Case1_7	Case1_7.6	Case2_4.1	Case2_6.5	Case2_8.4	Case2_8.9	Case3_1.9	Case3_5.9	Case3_7.4	Case3_8.1	Case4_6.4	Case4_6.4	Case4_7.1	Case4_7.6
3251	9.901882	9.797206	9.81523275	9.91918425	9.81135275	9.9407805	9.64488325	9.9087085	9.792746	9.98981	9.93052725	9.484827	9.844649	10.088341	9.945375	9.770117	10.089339	9.861981	10.1703355	9.97909575	9.85916675	9.8031675	9.8032355	9.9159815	9.89630225	9.98540375	9.822441	10.01516475	9.780272	9.955914	9.7341015	10.043097	9.6960035	9.8900325	9.86626225	9.8378565	10.230707
2987	9.9798315	9.9718675	10.00137875	10.15579625	9.822549	10.1386105	9.88548975	10.06732675	9.97632775	10.2693305	10.0702505	9.862013	10.127428	10.209917	9.994767	9.6836385	10.2626425	10.042149	10.26534175	10.03332225	10.32785725	10.28659175	10.10328125	10.1757865	9.85305225	9.89560075	9.98825575	10.290393	10.01734625	9.877047	9.6018115	10.01004525	10.08978825	10.04092275	10.1042575	10.0672115	10.02889875
9615	7.0966675	7.205115	7.39784825	7.559147	7.5233545	7.583107	7.50680625	7.2968395	7.682513	7.71457775	7.52631075	7.58778025	7.538896	7.50683975	7.4081085	7.577996	7.81942925	7.426181	7.57821375	7.40889825	7.98296825	7.7074015	7.76793675	7.6090905	7.3423835	7.72715575	7.7583715	7.1808365	7.54408725	7.696358	7.623535	7.5932985	7.46889975	7.61612825	7.05224025	7.7716265	7.504764
55821	6.62984475	6.8647165	6.9401425	6.31603475	6.80773225	6.522692	6.3823695	6.432676	6.28862775	6.7559325	6.47012525	7.2003805	6.80929425	6.36615825	6.28969375	6.77723	6.5594835	6.451426	6.53099975	6.43026925	6.7035915	6.42620775	6.647136	6.607358	6.66166625	6.81151175	6.4910505	6.350648	6.56341375	6.87309775	6.62767625	6.9350145	7.1729805	6.82910925	6.6214275	6.52908975	6.53796675
374659	7.60236125	7.48079375	7.67446525	7.87653975	7.81880175	7.839358	7.7847625	7.6263985	7.84032725	7.805712	8.03465	7.607527	7.57564325	7.77870225	7.68805	7.6207515	7.6422515	7.72752875	7.6901505	7.78062475	7.668046	7.87067975	7.63117125	7.65121925	7.850893	7.73496775	7.89048975	7.76062525	8.14299575	7.879074	7.40370475	7.8396565	7.754878	7.74678325	7.66912475	7.8421185	7.8034685
58497	9.10270725	9.11797775	9.35495225	9.381186	9.26305275	9.158019	9.447906	8.7982495	9.01793025	9.355022	9.5693365	9.22964225	8.9755905	9.22033375	9.1210445	8.79236075	9.140741	9.45562725	9.24346125	9.52733025	9.7120325	9.64769225	8.968152	9.29630525	9.4818825	8.60986125	9.32945925	9.4481505	9.62643975	9.325952	9.20527825	9.2083375	9.1756975	9.560968	9.46861975	9.0297575	9.81247325
2982	8.10467825	8.10255325	7.6952635	7.75552025	8.09213275	8.11592825	8.355255	8.21321725	8.239577	8.2199685	7.94568575	8.08380675	8.15462925	7.81876225	8.376952	8.22594925	8.12361975	7.88764725	8.074706	8.05283175	8.305242	8.0115905	8.05185	8.03074875	8.375267	8.253308	8.1004295	8.0101945	8.28132625	8.21350225	7.87860875	8.0080455	8.39155625	8.09020875	8.35920375	8.11096475	7.771678
9061	8.55498625	8.9043575	8.47640375	8.4602695	8.74824875	8.61649625	8.27077625	7.8990385	8.67189925	8.67956675	8.4516485	8.38474925	8.693541	8.51415825	8.49764475	8.56335125	8.5704195	8.59773725	8.45838075	8.81038775	8.32684825	8.9334125	8.80413575	8.684374	8.77936275	8.53244875	8.93508925	8.49319225	8.636452	8.80781825	8.629532	8.593629	8.56659725	8.8309195	8.78206525	8.822551	8.9349795
5198	9.5188795	9.580282	9.769786	9.6689865	9.295841	9.7790505	9.36805125	9.53182875	9.7523045	9.84726225	9.48695125	9.4577295	10.04959925	9.96962525	9.89644925	9.697531	9.27180925	9.54716625	9.69058325	9.96434075	10.0719605	9.813664	9.59209775	9.464783	9.96743225	9.98242275	9.4216855	9.93862425	9.8222395	9.737536	9.5418675	9.79805425	9.7493155	9.69549375	9.7579015	9.65610825	9.82161275
3704	7.7236535	7.80868275	7.714082	8.1402135	8.01144175	7.86218625	7.7211385	7.71257725	8.0282715	7.8855785	8.31745875	7.680777	7.58924825	7.845919	7.87873425	7.7726865	7.877321	7.90472075	7.9161675	8.31037675	7.802801	7.73405675	7.5943025	7.74522225	8.1027325	7.525202	7.8630835	7.91304875	8.27128325	8.28903475	7.52285125	7.66509975	7.7629555	8.10746775	7.56130275	7.89814875	8.32626575
